"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Snow Hill Convenience Center","CCC210000169","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","Highway 70 West","Snow Hill","DeKalb","OCT-20-1994","123","CCC210000169","35.990818","-85.884442","-","-","CONVENIENCE","51880"
"Alexandria Convenience Center","CCC210000233","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","Highway 53","Alexandria","DeKalb","FEB-14-1995","124","CCC210000233","36.082366","-86.028453","-","-","CONVENIENCE","51881"
"Dowelltown Convenience Center","CCC210000234","CONVENIENCE","Inactive","DEKALB COUNTY GOVERNMENT","Highway 70 West","Dowelltown","DeKalb","FEB-14-1995","125","CCC210000234","36.013792","-85.949945","-","-","CONVENIENCE","53658"
"Midway Convenience Center","CCC210000395","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","Highway 70","Midway","DeKalb","DEC-19-1996","126","CCC210000395","35.949623","-85.74482","-","-","CONVENIENCE","51882"
"Liberty Convenience Center","CCC210000468","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","105 Preston/Vickers Road","Liberty","DeKalb","JAN-07-2002","127","CCC210000468","36.002584","-85.981429","-","-","-","51883"
"Keltonburg Convenience Center","CCC210000474","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","Keltonburg Road","Keltonburg","DeKalb","NOV-19-2002","128","CCC210000474","35.891701","-85.757464","-","-","-","51884"
"Bowker Road Convenience Center","CCC220000029","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","3700 Bowker Road","Dickson","Dickson","DEC-22-1993","130","CCC220000029","36.261389","-87.235556","-","-","CONVENIENCE RECYCLING","51885"
"White Bluff Convenience Center","CCC220000030","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","500 Industrial Drive","White Bluff","Dickson","DEC-22-1993","131","CCC220000030","36.100278","-87.228611","-","-","CONVENIENCE RECYCLING","51886"
"Eno Convenience Center","CCC220000031","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","105 Worley Furnace Cemetary Road","Eno","Dickson","DEC-22-1993","132","CCC220000031","36.063611","-87.427222","-","-","CONVENIENCE RECYCLING","51897"
"Burns Convenience Center","CCC220000032","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","1001 Maple Grove Road","Burns","Dickson","DEC-22-1993","133","CCC220000032","36.054444","-87.324444","-","-","CONVENIENCE RECYCLING","51898"
"Vanleer Convenience Center","CCC220000033","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","1010 Old Bear Creek Road","Vanleer","Dickson","DEC-22-1993","134","CCC220000033","36.233056","-87.4575","-","-","CONVENIENCE RECYCLING","51899"
"Grab Creek Road Convenience Center","CCC220000034","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","1000 West Grab Creek Road","Dickson","Dickson","DEC-22-1993","135","CCC220000034","36.051667","-87.367778","-","-","CONVENIENCE RECYCLING","51900"
"Charlotte Convenience Center","CCC220000035","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","125 Doyles Hill Drive","Charlotte","Dickson","DEC-22-1993","136","CCC220000035","36.180911","-87.341636","-","-","CONVENIENCE RECYCLING","51901"
"Sylvis Road Convenience Center","CCC220000424","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","Offices located at 115 Sylvis Road

Lat/Long below is for offices.","Dickson","Dickson","NOV-07-1997","137","CCC220000424","36.10712","-87.36765","37055","-","CONVENIENCE","1726"
"Dickson County Convenience Center","CCC220000425","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","177 Pond Circle Road","Dickson","Dickson","NOV-07-1997","138","CCC220000425","36.108501","-87.428859","-","-","CONVENIENCE","51902"
"Cumberland Furnace Convenience Center","CCC220000435","CONVENIENCE","Active","DICKSON COUNTY GOVERNMENT","1001 Cinder Road","Cumberland Furnace","Dickson","JAN-08-1999","139","CCC220000435","36.267364","-87.360733","-","-","-","51903"
"Soddy Daisy Disposal Co","SNL330000011","CLASS I","Inactive","SODDY-DAISY GARBAGE","Soddy Daisy","Soddy Daisy","Hamilton","JAN-01-1972","886","SNL330000011","35.248308","-85.160956","-","-","LANDFILL","54229"
"Hamilton County Landfill","SNL330000023","CLASS I","Inactive","HAMILTON COUNTY GOVERNMENT","9327 Birchwood Pike","Harrison","Hamilton","JAN-01-1972","887","SNL330000023","35.198056","-85.064167","37341","-","LANDFILL SPECIAL WASTES","44991"
"Summitt Landfill Chatt","SNL330000035","CLASS I","Inactive","CITY OF CHATTANOOGA","Woodland Drive","Ooltewah","Hamilton","JAN-01-1976","888","SNL330000035","35.050402","-85.087451","37363","-","LANDFILL SPECIAL/MEDICAL WASTES","9256"
"Red Bank City Landfill","SNL330000072","CLASS I","Inactive","CITY OF RED BNK","1 Pinebreeze Road","Red Bank","Hamilton","JAN-01-1973","889","SNL330000072","35.091667","-85.299167","37415","-","LANDFILL","8449"
"City Of Chattanooga Landfill","SNL330000273","CLASS I","Active","CITY OF CHATTANOOGA","9327 Birchwood Pike","Harrison","Hamilton","AUG-07-1997","890","SNL330000273","35.1975","-85.0813","37341","-","LANDFILL SPECIAL WASTES","22215"
"Hancock Co Landfill","SNL340000087","CLASS I","Inactive","HANCOCK COUNTY OF TENNESSEE","Briar Creek Rd, West Of Sneedville","Sneedville","Hancock","JAN-01-1977","891","SNL340000087","36.536192","-83.234696","37689","-","LANDFILL","48007"
"Bolivar City Landfill","SNL350000110","CLASS I","Inactive","CITY OF BOLIVAR","Walton Lane","Bolivar","Hardeman","-","892","SNL350000110","35.247336","-89.000062","38008","-","LANDFILL","8835"
"Bolivar-Hardeman County Landfill","SNL350000223","CLASS I","Active","HARDEMAN COUNTY GOVERNMENT","75 Landfill Way","Bolivar","Hardeman","JAN-01-1975","893","SNL350000223","35.283703","-89.051425","38008","-","LANDFILL TIRE STORAGE/@ LANDFILL","25591"
"Savannah City-Hardin Co","SNL360000094","CLASS I","Inactive","CITY OF SAVANNAH","808 Shell Street","Savannah","Hardin","JAN-01-1972","894","SNL360000094","35.262682","-88.160187","-","-","LANDFILL","41596"
"Hawkins Co Landfill Persia Site","SNL370000021","CLASS I","Inactive","HAWKINS COUNTY","Rogersville","Rogersville","Hawkins","JAN-01-1972","895","SNL370000021","36.358409","-83.002374","-","-","LANDFILL","53952"
"N E Tenn  Waste Mgt  Inc","SNL370000166","CLASS I","Inactive","NORTHEAST TENNESSEE WASTE MANAGEMENT, INC.","Austin Mill Road","Rogersville","Hawkins","JAN-01-1980","896","SNL370000166","36.380909","-82.995084","37857","-","LANDFILL - CLOSED, pre-Subtitle D","48008"
"BFI-Carter Valley Landfill ","SNL370000185","CLASS I","Active","BFI WASTE SYSTEMS OF TENNESSEE, LLC","2825 Carter's Valley Road","Church Hill","Hawkins","JAN-01-1982","897","SNL370000185","36.543448","-82.787876","37642","-","LANDFILL (PR & C) SPECIAL WASTES","8786"
"Brownsville City Landfill","SNL380000064","CLASS I","Inactive","CITY OF BROWNSVILLE","Off Hwy 70, 608 Lf/Brownsville","Brownsville","Haywood","JAN-01-1972","898","SNL380000064","35.562602","-89.290773","-","-","LANDFILL TIRE STORAGE/@ CLOSED LF","53953"
"Haywood County Landfill","SNL380000111","CLASS I","Inactive","HAYWOOD COUNTY GOVERNMENT","3M Sw Browns'Le On Shaws Chapel Rd","Brownsville","Haywood","JAN-01-1973","899","SNL380000111","35.563295","-89.292926","-","-","LANDFILL","54063"
"Lexington City Landfill","SNL390000027","CLASS I","Inactive","CITY OF LEXINGTON","Lexington","Lexington","Henderson","JAN-01-1972","900","SNL390000027","35.628049","-88.415265","-","-","LANDFILL","53954"
"Lexington City Landfill","SNL390000137","CLASS I","Inactive","HENDERSON COUNTY GOVERNMENT","Lexington","Lexington","Henderson","JAN-01-1978","901","SNL390000137","35.628049","-88.415265","-","-","LANDFILL - CLOSED","53954"
"Henderson County Landfill","SNL390000236","CLASS I","Inactive","HENDERSON COUNTY GOVERNMENT","Highway 22 East ","Lexington","Henderson","JAN-01-1990","902","SNL390000236","35.639","-88.406333","-","-","LANDFILL","47967"
"Paris City Landfill","SNL400000025","CLASS I","Inactive","CITY OF PARIS","1140 Jones Bend Road","Paris","Henry","JAN-01-1972","903","SNL400000025","36.318715","-88.356479","38242","-","LANDFILL","8834"
"Ellis Landfill","SNL400000059","CLASS I","Inactive","JERE ELLIS","Old McKenzie Hwy","Paris","Henry","JAN-01-1973","904","SNL400000059","36.257301","-88.329878","-","-","LANDFILL","53958"
"Paris-Henry Co Landfill","SNL400000151","CLASS I","Inactive","CITY OF PARIS","1140 Jones Bend Road","Paris","Henry","JAN-01-1979","905","SNL400000151","36.318715","-88.356479","38242","-","LANDFILL","8834"
"Hickman County Landfill","SNL410000033","CLASS I","Inactive","HICKMAN COUNTY GOVERNMENT",".2M Sw Hwy 48, Off Indus'Al Street","Centerville","Hickman","JAN-01-1972","906","SNL410000033","35.833833","-87.454361","-","-","LANDFILL (P) SPECIAL WASTES","54061"
"Houston County Landfill","SNL420000107","CLASS I","Inactive","HOUSTON COUNTY GOVERNMENT","Ridge Road","Erin","Houston","JAN-01-1973","907","SNL420000107","36.289579","-87.707546","-","-","LANDFILL - CLOSED","51783"
"Humphreys County Landfill","SNL430000024","CLASS I","Inactive","HUMPHREYS COUNTY GOVERNMENT","Lucas Ridge Road, 2.5 miles Northwest of Waverly and 1.8 miles west of Highway 13","-","Humphreys","JAN-01-1971","908","SNL430000024","36.117088","-87.837356","-","-","LANDFILL TIRE STOR/@ LF; I/IV","46380"
"Bledsoe/Sequatchie Landfill (1977)","SNL040000142","CLASS I","Inactive","SEQUATCHIE/BLEDSOE SOLID WASTE BOARD","Dunlap","Dunlap","Bledsoe","MAY-19-1977","824","SNL040000142","35.532081","-85.259197","-","-","LANDFILL","53959"
"Bledsoe-Sequatchie Co. Class I Landfill (1983)","SNL040000193","CLASS I","Inactive","BLEDSOE / SEQUATCHIE COUNTY LANDFILL","29420 Highway 127","Pikeville","Bledsoe","JUL-13-1983","825","SNL040000193","35.5333","-85.25","37367","-","LANDFILL","7711"
"Alcoa /Maryville/ Blount Co. Class I Landfill","SNL050000105","CLASS I","Active","CITY OF ALCOA","240 Long Powers Road","Friendsville","Blount","JAN-01-1975","826","SNL050000105","35.737384","-84.058899","37737","-","LANDFILL (P) SPECIAL WASTES/TIRES","9275"
"Bradley County Class I Landfill","SNL060000006","CLASS I","Active","BRADLEY COUNTY GOVERNMENT","282 Natures Trail","McDonald","Bradley","JAN-01-1972","827","SNL060000006","35.15662","-84.9588","37353","-","LANDFILL SPECIAL WASTES","8191"
"Campbell County Landfill","SNL070000032","CLASS I","Inactive","CAMPBELL COUNTY","Jacksboro","Jacksboro","Campbell","JAN-01-1972","828","SNL070000032","36.309227","-84.120092","-","-","LANDFILL","53960"
"Mckenzie Landfill","SNL090000056","CLASS I","Inactive","CITY OF MCKENZIE","Higdon Lane","McKenzie","Carroll","JAN-01-1972","829","SNL090000056","36.113266","-88.507126","38201      ","-","LANDFILL","52313"
"Huntingdon Landfill","SNL090000102","CLASS I","Inactive","TOWN OF HUNTINGDON","1/4M W Tower Rd, 1/2M No Vet Drive","Carroll","Carroll","JAN-01-1974","830","SNL090000102","36.031737","-88.429818","-","-","LANDFILL","54231"
"Milan Arsenal Landfill","SNL090000144","CLASS I","Inactive","MILAN ARMY AMMUNITION PLANT","2280 Highway 104 West, Suite 2","Milan","Carroll","JAN-01-1978","831","SNL090000144","35.89","-88.7124","38358","-","LANDFILL","1767"
"Carter County Landfill Blue Springs Site","SNL100000081","CLASS I","Inactive","CITY OF ELIZABETHTON","Carter County","-","Carter","JUN-05-1973","832","SNL100000081","36.366","-82.195478","-","-","LANDFILL","42693"
"Carter County/Elizabethton Class I Landfill","SNL100000186","CLASS I","Inactive","CARTER COUNTY GOVERNMENT","169 Landfill Road","Elizabethton","Carter","JAN-01-1982","833","SNL100000186","36.371859","-82.194389","37643","-","LANDFILL (P) SPECIAL WASTES","47984"
"Bill Allen Landfill","SNL110000071","CLASS I","Inactive","BILL ALLEN","Ashland City","Ashland City","Cheatham","JAN-01-1973","834","SNL110000071","36.367508","-87.09667","-","-","LANDFILL","54232"
"Cheatham County Landfill","SNL110000164","CLASS I","Inactive","CHEATHAM COUNTY GOVERNMENT","2791 Sams Creek Road","Pegram","Cheatham","JAN-01-1980","835","SNL110000164","36.129907","-87.042243","-","-","LANDFILL","48001"
"Chester County Landfill","SNL120000116","CLASS I","Inactive","CHESTER COUNTY GOVERNMENT","Talley Store Road","Henderson","Chester","JAN-01-1974","836","SNL120000116","35.446561","-88.593321","-","-","LANDFILL","54233"
"Henderson/Chester County Class I Landfill","SNL120000265","CLASS I","Inactive","CHESTER COUNTY GOVERNMENT","120 New Friendship Rd","Henderson","Chester","FEB-14-1996","837","SNL120000265","35.517296","-88.598722","38340","-","LANDFILL","48002"
"Claiborne County Landfill","SNL130000008","CLASS I","Inactive","CLAIBORNE COUNTY GOVERNMENT","501 Poore Rd.","New Tazewell","Claiborne","JAN-01-1972","838","SNL130000008","36.400833","-83.649444","37825","-","LANDFILL TIRE STORAGE","52865"
"Clay County Landfill","SNL140000026","CLASS I","Inactive","CLAY COUNTY","776 Terry Odle Road","Red Boiling Springs","Clay","JAN-01-1981","839","SNL140000026","36.560278","-85.707778","37150","-","LANDFILL","7984"
"Upper Cumberland Landfill","SNL140000250","CLASS I","Active","CORNELL SMITH (dba/Upper Cumberland Solid Waste Management, Inc.)","776 Terry Odle Road","Red Boiling Springs","Clay","FEB-03-1991","840","SNL140000250","36.560278","-85.707778","37150","-","LANDFILL TIRE STORAGE/@ LANDFILL","7984"
"Cocke County Landfill","SNL150000133","CLASS I","Inactive","COCKE COUNTY GOVERNMENT","1.4 M. E. Newport On Landfill Road","Newport","Cocke","JAN-01-1985","841","SNL150000133","35.957778","-83.15","-","-","LANDFILL TIRE STORAGE/@ LANDFILL","47700"
"Coffee Co Joint Landfill","SNL160000015","CLASS I","Inactive","COFFEE COUNTY","HIGHWAY 55  1.5 MI SO OF MANCH","Manchester","Coffee","JAN-01-1972","842","SNL160000015","35.439222","-86.100889","-","-","LANDFILL","42301"
"Crossville Cumberland Co.","SNL180000113","CLASS I","Inactive","CITY OF CROSSVILLE","Crossville","Crossville","Cumberland","JAN-01-1985","843","SNL180000113","35.927761","-84.99263","-","-","LANDFILL","53961"
"Cumberland Co  Landfill","SNL180000167","CLASS I","Inactive","CITY OF CROSSVILLE","2.5M Se Crossville, .5M East US-127","Crossville","Cumberland","JAN-01-1974","844","SNL180000167","35.927761","-84.99263","38555","-","LANDFILL","51973"
"Cumberland Co  Landfill","SNL180000184","CLASS I","Inactive","CITY OF CROSSVILLE","West Lantana Rd. on Flynns Cove Raod","Crossville","Cumberland","JAN-01-1982","845","SNL180000184","35.859192","-85.14245","-","-","LANDFILL","53520"
"County Farm Road Convenience Center","CCC230000304","CONVENIENCE","Inactive","DYER COUNTY GOVERNMENT","County Farm Road","Dyersburg","Dyer","SEP-11-1995","140","CCC230000304","36.070833","-89.375","-","-","CONVENIENCE RECYCLING","53659"
"Sorrell Chapel Road Convenience Center","CCC230000305","CONVENIENCE","Active","DYER COUNTY GOVERNMENT","Sorrell Chapel Road","Dyersburg","Dyer","SEP-11-1995","141","CCC230000305","35.989072","-89.36594","38025","-","CONVENIENCE RECYCLING","22813"
"Roellen Road Convenience Center","CCC230000306","CONVENIENCE","Inactive","DYER COUNTY GOVERNMENT","Roellen Road","Newbern","Dyer","SEP-11-1995","142","CCC230000306","36.0975","-89.277306","-","-","CONVENIENCE RECYCLING","53660"
"Newbern Dyer County Convenience Center","CCC230000398","CONVENIENCE","Inactive","CITY OF NEWBERN","South Monroe Street","Newbern","Dyer","JAN-16-1997","143","CCC230000398","36.111883","-89.264402","-","-","CONVENIENCE","53661"
"Seventy Eight Bluff Convenience Center","CCC230000418","CONVENIENCE","Active","DYER COUNTY GOVERNMENT","SR-78","Ridgely","Dyer","AUG-29-1997","144","CCC230000418","36.134751","-89.431945","-","-","CONVENIENCE","51905"
"Trimble-Dyer County Convenience Center","CCC230000419","CONVENIENCE","Active","DYER COUNTY GOVERNMENT","Obion And Mill Streets","Trimble","Dyer","AUG-29-1997","145","CCC230000419","36.204689","-89.190851","-","-","CONVENIENCE","51908"
"Fayette County Environmental Center","CCC240000344","CONVENIENCE","Active","FAYETTE COUNTY GOVERNMENT","Highway 76 South","Somerville","Fayette","FEB-15-1996","146","CCC240000344","35.225507","-89.357116","-","-","CONVENIENCE RECYCLING","51909"
"Clarkrange Convenience Center ","CCC250000002","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","6017 S. York Hwy","Clarkrange","Fentress","NOV-24-1993","148","CCC250000002","36.193385","-85.020893","38553","-","CONVENIENCE RECYCLING","51911"
"Grimsley Convenience Center","CCC250000064","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","US-127 South","Grimsley","Fentress","MAR-11-1994","149","CCC250000064","36.25793","-84.98663","-","-","CONVENIENCE","51912"
"Pall Mall Convenience  Center","CCC250000065","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","SR-28","Pall Mall","Fentress","MAR-11-1994","150","CCC250000065","36.553617","-84.985155","-","-","CONVENIENCE","51913"
"Fairground Road Convenience Center","CCC250000114","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","Fairground Road","-","Fentress","MAY-20-1994","151","CCC250000114","36.44138","-84.94378","-","-","CONVENIENCE RECYCLING","51914"
"West Fentress Convenience Center","CCC250000241","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","3211 Livingston","-","Fentress","APR-10-1995","152","CCC250000241","36.415621","-85.034804","-","-","CONVENIENCE RECYCLING","51915"
"Mt.  Helen Convenience Center","CCC250000302","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","4029 Stockton Road","Jamestown","Fentress","SEP-08-1995","153","CCC250000302","36.382219","-84.794396","-","-","CONVENIENCE RECYCLING","51916"
"Highway 154 North Convenience Center","CCC250000313","CONVENIENCE","Active","FENTRESS COUNTY GOVERNMENT","Highway 154 North","-","Fentress","OCT-05-1995","154","CCC250000313","36.46639","-84.89481","-","-","CONVENIENCE RECYCLING","51917"
"Center Grove Convenience Center","CCC260000151","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","70 Oakwood Lane","Tullahoma","Franklin","AUG-24-1994","155","CCC260000151","35.300722","-86.227722","-","-","CONVENIENCE","51918"
"Cowan Convenience Center","CCC260000152","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","415 College Street","Cowan","Franklin","AUG-24-1994","156","CCC260000152","35.169667","-86.016889","-","-","CONVENIENCE","51919"
"Keith Springs Convenience  Center","CCC260000153","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","80 Community Lane","Belvidere","Franklin","AUG-24-1994","157","CCC260000153","35.100722","-86.123083","-","-","CONVENIENCE","51920"
"Liberty Road Convenience  Center","CCC260000154","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","3234 Liberty Road","Winchester","Franklin","AUG-24-1994","158","CCC260000154","35.131972","-86.103722","-","-","CONVENIENCE","51921"
"Old Salem Lexie Road Convenience  Center","CCC260000155","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","68 Old Salem Lexie Road","Belvidere","Franklin","AUG-24-1994","159","CCC260000155","35.085056","-86.251611","-","-","CONVENIENCE","51922"
"Owl Hollow Convenience  Center","CCC260000156","CONVENIENCE","Inactive","FRANKLIN COUNTY GOVERNMENT","4692 Lynchburg Road","Winchester","Franklin","AUG-24-1994","160","CCC260000156","35.183833","-86.189861","-","-","CONVENIENCE","53662"
"Industrial Park Convenience  Center","CCC260000157","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","457 Industrial Drive","Winchester","Franklin","AUG-24-1994","161","CCC260000157","35.192194","-86.080139","-","-","CONVENIENCE","51923"
"Winchester Springs Convenience Center","CCC260000158","CONVENIENCE","Active","FRANKLIN COUNTY GOVERNMENT","365 Riddle Road","Estill Springs","Franklin","AUG-24-1994","162","CCC260000158","35.237279","-86.170079","-","-","CONVENIENCE","51924"
"Fountain Grove Convenience Center","CCC160000043","CONVENIENCE","Active","COFFEE COUNTY SOLID WASTE","Fountain Grove Road","Manchester","Coffee","JAN-25-1994","85","CCC160000043","35.520649","-85.936907","-","-","CONVENIENCE","51925"
"Beech Grove Convenience Center","CCC160000044","CONVENIENCE","Active","COFFEE COUNTY SOLD WASTE","Old Highway 41","Manchester","Coffee","JAN-25-1994","86","CCC160000044","35.606028","-86.222389","-","-","CONVENIENCE","51926"
"Belmont Convenience Center","CCC160000045","CONVENIENCE","Active","COFFEE COUNTY SOLID WASTE","SR-55","Manchester","Coffee","JAN-25-1994","87","CCC160000045","35.421889","-86.111889","-","-","CONVENIENCE","51927"
"Blanton'S Chapel Convenience Center","CCC160000046","CONVENIENCE","Active","COFFEE COUNTY SOLID WASTE","Bashaw Creek Road","Manchester","Coffee","JAN-25-1994","88","CCC160000046","35.494192","-86.145328","-","-","CONVENIENCE","51928"
"Hillsboro Convenience Center","CCC160000047","CONVENIENCE","Active","COFFEE COUNTY SOLID WASTE","SR-127","Hillsboro","Coffee","JAN-25-1994","89","CCC160000047","35.407694","-85.974444","-","-","CONVENIENCE","51929"
"Summitville Convenience Center","CCC160000048","CONVENIENCE","Active","COFFEE COUNTY SOLID WASTE","School Street","Summitville","Coffee","JAN-25-1994","90","CCC160000048","35.561683","-85.993001","-","-","CONVENIENCE","51931"
"Red Hill Convenience Center","CCC160000135","CONVENIENCE","Active","COFFEE COUNTY SOLID WASTE","Highway 41 South","Manchester","Coffee","JUL-13-1994","91","CCC160000135","35.452722","-86.039444","-","-","CONVENIENCE","51932"
"Alamo Convenience Center","CCC170000095","CONVENIENCE","Active","CROCKETT COUNTY GOVERNMENT","Hwy 54","Alamo","Crockett","APR-27-1994","92","CCC170000095","35.797958","-89.113911","-","-","CONVENIENCE TIRE STORAGE","51933"
"Friendship Convenience Center","CCC170000096","CONVENIENCE","Active","CROCKETT COUNTY GOVERNMENT","Pugh Road","Friendship","Crockett","APR-27-1994","93","CCC170000096","35.882483","-89.235372","-","-","CONVENIENCE","51934"
"Fruitvale Convenience Center","CCC170000097","CONVENIENCE","Active","CROCKETT COUNTY GOVERNMENT","Highway 79","Fruitvale","Crockett","APR-27-1994","94","CCC170000097","35.738456","-89.047406","-","-","CONVENIENCE","51935"
"Maury City Convenience Center","CCC170000098","CONVENIENCE","Active","CROCKETT COUNTY GOVERNMENT","Jennings Road","Maury City","Crockett","APR-27-1994","95","CCC170000098","35.806148","-89.236641","-","-","CONVENIENCE","51936"
"Homestead Convenience Center","CCC180000124","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","Hwy 127 South","Homestead","Cumberland","MAY-20-1994","96","CCC180000124","35.906389","-84.986417","-","-","CONVENIENCE","51937"
"Westel Convenience Center","CCC180000125","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","Hwy 70 East","Westel","Cumberland","MAY-20-1994","97","CCC180000125","35.85572","-84.74089","-","-","CONVENIENCE","51938"
"Crossville Super Center Convenience Center","CCC180000126","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","Highway 79 North, Industrial Park","Crossville","Cumberland","MAY-20-1994","98","CCC180000126","35.979901","-85.014835","-","-","CONVENIENCE","51939"
"Airport Convenience Center","CCC180000342","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","US-70 N And Old US-70","Crossville","Cumberland","FEB-12-1996","99","CCC180000342","35.947495","-85.096496","-","-","CONVENIENCE","51940"
"Peavine Convenience Center","CCC180000343","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","Beanpot Campground Road","Crossville","Cumberland","FEB-12-1996","100","CCC180000343","35.977002","-84.962374","-","-","CONVENIENCE","51988"
"Baker'S Convenience Center","CCC180000504","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","2089 West Creston Road","Crossville","Cumberland","MAY-26-2005","101","CCC180000504","35.997528","-85.10973","-","-","-","51989"
"Big Lick Convenience Center","CCC180000505","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","5199 Old Highway 28","Crossville","Cumberland","MAY-26-2005","102","CCC180000505","35.81974","-85.00163","-","-","-","51992"
"Burgess Convenience Center","CCC180000506","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","Highway 101 South","Crossville","Cumberland","MAY-26-2005","103","CCC180000506","35.77332","-85.16183","-","-","-","51993"
"Crab Orchard Convenience Center","CCC180000507","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","10223 Highway 70 East","Crab Orchard","Cumberland","MAY-26-2005","104","CCC180000507","35.85119","-84.248846","-","-","-","51994"
"Industrial Park Convenience Center","CCC180000508","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","82 Cox Avenue","Crossville","Cumberland","MAY-26-2005","105","CCC180000508","35.974655","-85.014082","-","-","-","51995"
"Mayland Convenience Center","CCC180000509","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","464 Jim Garrett Road","Crossville","Cumberland","MAY-26-2005","106","CCC180000509","36.053893","-85.192249","-","-","-","51966"
"Crossville City Landfill","SNL180000206","CLASS I","Inactive","CITY OF CROSSVILLE","Chester Hill Rd, 3.8M E ","Crossville","Cumberland","JAN-01-1985","846","SNL180000206","35.960277","-84.958511","-","-","LANDFILL CLOSED","48009"
"Cumberland County  Landfill","SNL180000212","CLASS I","Inactive","CUMBERLAND COUNTY GOVERNMENT","904 Landfill Road","Crossville","Cumberland","JAN-01-1986","847","SNL180000212","35.86582","-85.14252","38555","-","LANDFILL TIRE STORAGE/@ LANDFILL

LANDFILL CLOSED","22353"
"Bordeaux Landfill","SNL190000092","CLASS I","Inactive","METRO GOVERNMENT OF NASHVILLE","1400 County Hospital Rd","Nashville","Davidson","JAN-01-1973","848","SNL190000092","36.169444","-86.833333","37218","-","LANDFILL TIRE STORAGE/@ CLOSED LF","7992"
"Hawkins Landfill","SNL190000124","CLASS I","Inactive","ALVIN HAWKINS","Nashville","Nashville","Davidson","JAN-01-1976","849","SNL190000124","36.249694","-86.668556","-","-","LANDFILL","53999"
"Decatur County Sw Program","SNL200000114","CLASS I","Inactive","COUNTY OF DECATUR","324 Landfill Lane","Bath Springs","Decatur","JAN-01-1975","850","SNL200000114","35.48668","-88.07765","38311","-","LANDFILL","8497"
"Decatur Co Landfill Old","SNL200000171","CLASS I","Inactive","DECATUR COUNTY","Bob'S Landing Rd, 10M To Decatur'Le","Decatur","Decatur","JAN-01-1981","851","SNL200000171","35.484357","-88.078408","-","-","LANDFILL","54000"
"Decatur Landfill","SNL200000254","CLASS I","Active","DECATUR COUNTY","324 Landfill Lane","Bath Springs","Decatur","JAN-21-1992","852","SNL200000254","35.48668","-88.07765","38311","-","LANDFILL TIRE STORAGE/@ LANDFILL","8497"
"Dekalb County Landfill","SNL210000074","CLASS I","Inactive","COUNTY OF DEKALB","455 Felts Road","Smithville","DeKalb","JAN-01-1973","853","SNL210000074","35.971944","-85.687222","37166","-","LANDFILL","11554"
"Dekalb County Landfill - Midway","SNL210000173","CLASS I","Inactive","DEKALB COUNTY GOVERNMENT","455 Felts Rd.","Sparta","DeKalb","JAN-01-1981","854","SNL210000173","35.947065","-85.76503","38583","-","LANDFILL","44921"
"Dekalb County Landfill","SNL210000243","CLASS I","Active","DEKALB COUNTY GOVERNMENT","455 Felts Road","Smithville","DeKalb","OCT-01-1991","855","SNL210000243","35.971944","-85.687222","37166","-","LANDFILL (P) SPECIAL WASTES/TIRES","11554"
