"Site Number","Name","Alias","Address","Town","County","Acres","IC_Controls","Status","Substatus","Status Date","Program","Latitude","Longitude"
"REM01551","CADILLAC MOUNTAIN SPORTS","","32 HIGH STREET","ELLSWORTH","HANCOCK",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/06/2005,"VRAP",44.5414,-68.41785
"REM01553","APOLLO TANNING","","WASHINGTON STREET","CAMDEN","KNOX",3,"FALSE","INVESTIGATION STAGE","ONGOING",12/01/2015,"BROWNFIELDS-104K",44.21532,-69.07711
"REM01553","APOLLO TANNING","","WASHINGTON STREET","CAMDEN","KNOX",3,"FALSE","INVESTIGATION STAGE","ONGOING",12/01/2015,"VRAP",44.21532,-69.07711
"REM01553","APOLLO TANNING","","WASHINGTON STREET","CAMDEN","KNOX",3,"FALSE","INVESTIGATION STAGE","ONGOING",12/01/2015,"BROWNFIELDS-128A",44.21532,-69.07711
"REM01554","PORTLAND BANGOR WASTE OIL","","MAPLETON ROAD","PRESQUE ISLE","AROOSTOOK",2,"FALSE","TRANSFERRED TO OTHER DIVISION","OIL",11/16/2010,"UNCONTROLLED SITES",46.67679,-68.05175
"REM01555","NORTH WAYNE TOOL COMPANY","","","WAYNE","KENNEBEC",0,"FALSE","TRANSFERRED TO OTHER DIVISION","OTHER",03/04/2005,"UNCONTROLLED SITES",44.37286,-70.03375
"REM01556","FOREST AVENUE MOBIL","","518 FOREST AVENUE","PORTLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/20/2005,"VRAP",43.66726,-70.27953
"REM01557","LISBON STREET MOBIL","","841 LISBON STREET","LEWISTON","ANDROSCOGGIN",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/20/2005,"VRAP",44.0843,-70.20404
"REM01558","FALMOUTH MOBIL","","266 U.S. ROUTE 1","FALMOUTH","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/27/2010,"VRAP",43.7261,-70.23113
"REM01559","CENTER STREET MOBIL","","345 CENTER STREET","AUBURN","ANDROSCOGGIN",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/01/2006,"VRAP",44.11584,-70.22432
"REM01560","EXIT 8 MOBIL","","47 MAIN STREET","WESTBROOK","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/05/2015,"VRAP",43.68008,-70.32933
"REM01561","YARMOUTH MOBIL","","12 U.S. ROUTE 1","YARMOUTH","CUMBERLAND",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/01/2006,"VRAP",43.79305,-70.18825
"REM01562","AUBURN STREET MOBIL","ALLIANCE ENERGY GASOLINE STATION","84 AUBURN STREET","PORTLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/17/2011,"VRAP",43.70271,-70.28971
"REM01563","WASHINGTON AVENUE MOBIL","","1397 WASHINGTON AVENUE","PORTLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/20/2005,"VRAP",43.69998,-70.28816
"REM01564","ORCHARD RIDGE DEVELOPMENT","","158 ORCHARD ROAD","CUMBERLAND","CUMBERLAND",31,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/01/2005,"VRAP",43.84326,-70.294
"REM01565","BAYSHORE CONCRETE","","445 LEWISTON JUNCTION RD","AUBURN","ANDROSCOGGIN",147,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/26/2005,"VRAP",44.04991,-70.29137
"REM01566","CHESTNUT STREET EXTENSION","","CHESTNUT STREET AT MARGINAL WAY","PORTLAND","CUMBERLAND",0,"UNKNOWN","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"VRAP",43.663,-70.26291
"REM01566","CHESTNUT STREET EXTENSION","","CHESTNUT STREET AT MARGINAL WAY","PORTLAND","CUMBERLAND",0,"UNKNOWN","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"BROWNFIELDS-104K",43.663,-70.26291
"REM01567","WAL-MART DISTRIBUTION CENTER","LA TENT AND AWNING","237 GODDARD ROAD","LEWISTON","ANDROSCOGGIN",114,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/12/2005,"VRAP",44.06169,-70.19224
"REM01568","DURASTONE","DURASTONE SOUTH PORTLAND","1 WALLACE AVENUE","SOUTH PORTLAND","CUMBERLAND",24,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/24/2006,"BROWNFIELDS-128A",43.61219,-70.30358
"REM01568","DURASTONE","DURASTONE SOUTH PORTLAND","1 WALLACE AVENUE","SOUTH PORTLAND","CUMBERLAND",24,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/24/2006,"VRAP",43.61219,-70.30358
"REM01569","LOG CABIN CRAFTS","","31 MAIN STREET","DIXFIELD","OXFORD",0,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"VRAP",44.53102,-70.45704
"REM01570","ROCKY BAY BREWING CO","","230 PARK STREET","ROCKLAND","KNOX",0,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/09/2015,"VRAP",44.10119,-69.12555
"REM01571","FETTERS RESIDENCE","","145 BOWMANS LANDING","GEORGETOWN","SAGADAHOC",5,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/23/2005,"VRAP",43.83202,-69.76413
"REM00443","STINSON CANNING CO","","60 BOWARY STREET","BATH","SAGADAHOC",0,"FALSE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",05/23/2005,"VRAP",43.92632,-69.8109
"REM00443","STINSON CANNING CO","","60 BOWARY STREET","BATH","SAGADAHOC",0,"FALSE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",05/23/2005,"UNCONTROLLED SITES",43.92632,-69.8109
"REM01609","MAIN STREET CITGO","","147 MAIN STREET","ELLSWORTH","HANCOCK",0,"FALSE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",12/27/2005,"VRAP",44.54165,-68.42343
"REM00753","A C LAWRENCE CO","A C LAWRENCE SLUDGE LANDFILL","OXFORD STREET","PARIS","OXFORD",19,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/23/2008,"LANDFILL CLOSURE",44.20445,-70.517
"REM00753","A C LAWRENCE CO","A C LAWRENCE SLUDGE LANDFILL","OXFORD STREET","PARIS","OXFORD",19,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/23/2008,"UNCONTROLLED SITES",44.20445,-70.517
"REM01573","FLO-JO CONTRACTING","","RT 27","ROME","KENNEBEC",5,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/23/2005,"VRAP",44.59887,-69.93046
"REM01574","ORION CENTER","","301 US ROUTE 1","SCARBOROUGH","CUMBERLAND",15,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/07/2009,"VRAP",43.5892,-70.34644
"REM01575","EAST MILLINOCKET BARK PILE","","ROUTE 11/ROUTE 157","EAST MILLINOCKET","PENOBSCOT",22,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/08/2005,"VRAP",45.62509,-68.58562
"REM01576","DOWNEAST WOODCRAFTERS","","2 TOWN LANDING","BATH","SAGADAHOC",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/17/2005,"VRAP",43.92679,-69.8119
"REM01576","DOWNEAST WOODCRAFTERS","","2 TOWN LANDING","BATH","SAGADAHOC",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/17/2005,"BROWNFIELDS-104K",43.92679,-69.8119
"REM01576","DOWNEAST WOODCRAFTERS","","2 TOWN LANDING","BATH","SAGADAHOC",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/17/2005,"BROWNFIELDS-128A",43.92679,-69.8119
"REM01577","OLD SHIPYARD","","FRONT STREET","BATH","SAGADAHOC",3,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/04/2007,"VRAP",43.92279,-69.81241
"REM01577","OLD SHIPYARD","","FRONT STREET","BATH","SAGADAHOC",3,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/04/2007,"BROWNFIELDS",43.92279,-69.81241
"REM01578","PRAWER BLOCK","","COMMERCIAL STREET","BATH","SAGADAHOC",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/14/2010,"BROWNFIELDS",43.91602,-69.81406
"REM01578","PRAWER BLOCK","","COMMERCIAL STREET","BATH","SAGADAHOC",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/14/2010,"VRAP",43.91602,-69.81406
"REM01579","TARBOX HILL","","TARBOX STREET","BATH","SAGADAHOC",2,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/15/2005,"VRAP",43.90139,-69.82191
"REM01579","TARBOX HILL","","TARBOX STREET","BATH","SAGADAHOC",2,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/15/2005,"BROWNFIELDS",43.90139,-69.82191
"REM01580","BROOKS PROPERTY","","86 UNION STREET","BRUNSWICK","CUMBERLAND",7,"FALSE","INVESTIGATION STAGE","ONGOING",06/15/2005,"BROWNFIELDS-128A",43.91077,-69.96816
"REM01581","DIAMOND MATCH","","HORRIGAN COURT","BIDDEFORD","YORK",10,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",04/23/2008,"VRAP",43.49761,-70.46174
"REM01581","DIAMOND MATCH","","HORRIGAN COURT","BIDDEFORD","YORK",10,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",04/23/2008,"BROWNFIELDS-128A",43.49761,-70.46174
"REM01582","CB CUMMINGS","","8 PIKES HILL ROAD","NORWAY","OXFORD",5,"TRUE","REMEDY IN PLACE: CLOSED","NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE",09/10/2015,"VRAP",44.21257,-70.54307
"REM01582","CB CUMMINGS","","8 PIKES HILL ROAD","NORWAY","OXFORD",5,"TRUE","REMEDY IN PLACE: CLOSED","NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE",09/10/2015,"BROWNFIELDS-104K",44.21257,-70.54307
"REM01582","CB CUMMINGS","","8 PIKES HILL ROAD","NORWAY","OXFORD",5,"TRUE","REMEDY IN PLACE: CLOSED","NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE",09/10/2015,"BROWNFIELDS-128A",44.21257,-70.54307
"REM00447","STINSON CANNING CO","COMBINES WITH 45 FRONT STREET","101 FRONT STREET","BELFAST","WALDO",4,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/29/2013,"UNCONTROLLED SITES",44.42969,-69.0095
"REM00447","STINSON CANNING CO","COMBINES WITH 45 FRONT STREET","101 FRONT STREET","BELFAST","WALDO",4,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/29/2013,"BROWNFIELDS",44.42969,-69.0095
"REM00447","STINSON CANNING CO","COMBINES WITH 45 FRONT STREET","101 FRONT STREET","BELFAST","WALDO",4,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/29/2013,"VRAP",44.42969,-69.0095
"REM01583","WATERVILLE HOP","","1 KENNEDY MEMORIAL DRIVE","WATERVILLE","KENNEBEC",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/15/2005,"VRAP",44.5406,-69.64998
"REM01584","NORTHEAST INDUSTRIAL","","40 WINADA DRIVE","WINTHROP","KENNEBEC",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/31/2005,"VRAP",44.2826,-69.99787
"REM01585","BARK PILE E SIDE","","FERGUSON LAKE ROAD","MILLINOCKET","PENOBSCOT",53,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/14/2005,"VRAP",45.63495,-68.7155
"REM01586","CITY DRY CLEANERS","","636 MAIN STREET","PRESQUE ISLE","AROOSTOOK",0,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/02/2006,"RCRA",46.68561,-68.01357
"REM01586","CITY DRY CLEANERS","","636 MAIN STREET","PRESQUE ISLE","AROOSTOOK",0,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/02/2006,"VRAP",46.68561,-68.01357
"REM01587","TOPSHAM TOWN CENTER","","100 MAIN STREET","TOPSHAM","SAGADAHOC",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/10/2007,"VRAP",43.93431,-69.96595
"REM01588","CHESTNUT ST METHODIST CHURCH","","17 & 21 CHESTNUT STREET","PORTLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"BROWNFIELDS-104K",43.65954,-70.25808
"REM01588","CHESTNUT ST METHODIST CHURCH","","17 & 21 CHESTNUT STREET","PORTLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"VRAP",43.65954,-70.25808
"REM01589","DISCOVERY HOUSE","","13 BEECH STREET","CALAIS","WASHINGTON",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/15/2005,"VRAP",45.17846,-67.28822
"REM01590","ROUNDHOUSE PROPERTY","","125 PRESUMPSCOT STREET","PORTLAND","CUMBERLAND",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/21/2006,"VRAP",43.68551,-70.25896
"REM01591","AUGUSTA POWER SPORTS","","491 WESTERN AVENUE","AUGUSTA","KENNEBEC",6,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/13/2006,"VRAP",44.32067,-69.82542
"REM01592","WEST END GARAGE","","730 CONGRESS STREET","PORTLAND","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/17/2006,"VRAP",43.65293,-70.26998
"REM01593","FORMER YMCA","","26 SUMMER STREET","BATH","SAGADAHOC",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/19/2012,"BROWNFIELDS",43.91492,-69.81503
"REM01593","FORMER YMCA","","26 SUMMER STREET","BATH","SAGADAHOC",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/19/2012,"VRAP",43.91492,-69.81503
"REM01594","RT. 108 JUNKYARD","","214 RT. 108","RUMFORD","OXFORD",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/09/2008,"UNCONTROLLED SITES",44.53282,-70.5155
"REM01594","RT. 108 JUNKYARD","","214 RT. 108","RUMFORD","OXFORD",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/09/2008,"BROWNFIELDS",44.53282,-70.5155
"REM01596","IRVING MAINWAY VAN BUREN","","171 MAIN STREET","VAN BUREN","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/26/2005,"VRAP",47.15694,-67.93559
"REM01597","IRVING MAINWAY BRIDGEWATER","","733 U.S. HIGHWAY 1","BRIDGEWATER","AROOSTOOK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/26/2005,"VRAP",46.45121,-67.85153
"REM01598","IRVING MAINWAY FORT FAIRFIELD","","214 MAIN STREET","FORT FAIRFIELD","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/12/2009,"VRAP",46.77024,-67.82535
"REM01599","IRVING MAINWAY MADAWASKA","","74 MAIN STREET","MADAWASKA","AROOSTOOK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/26/2005,"VRAP",47.3552,-68.34426
"REM01600","MAINE STATE PRISON","","MAIN ST, WADSWORTH ST, SHIP ST","THOMASTON","KNOX",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/09/2005,"VRAP",44.07646,-69.19391
"REM01601","RITE AID","","51 MARKET STREET","SOUTH PORTLAND","CUMBERLAND",2,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/14/2005,"VRAP",43.63723,-70.25302
"REM01602","BARKER MILL ARMS","","143 MILL STREET","AUBURN","ANDROSCOGGIN",4,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/13/2005,"VRAP",44.08787,-70.22736
"REM01603","LITTLE GULLS VARIETY","","131 N STONINGTON RD","STONINGTON","HANCOCK",0,"UNKNOWN","COMPLAINT INVESTIGATED","REVEIWING PRELIMINARY SITE INFORMATION",10/11/2005,"VRAP",44.18509,-68.65994
"REM01604","OSRAM SYLVANIA","","200 SYLVAN ROAD","BANGOR","PENOBSCOT",39,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/12/2006,"VRAP",44.8254,-68.74922
"REM01604","OSRAM SYLVANIA","","200 SYLVAN ROAD","BANGOR","PENOBSCOT",39,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/12/2006,"RCRA",44.8254,-68.74922
"REM01605","FORMER BANCROFT AND MARTIN","","27 MAIN STREET","SOUTH PORTLAND","CUMBERLAND",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/19/2006,"VRAP",43.63789,-70.28512
"REM01606","ELSCOTT MANUFACTURING","","US ROUTE 1","GOULDSBORO","HANCOCK",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/01/2006,"VRAP",44.48605,-68.11955
"REM01607","FW WEBB CO","","210 PEARL STREET","PORTLAND","CUMBERLAND",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/06/2008,"VRAP",43.66167,-70.25873
"REM01608","KONICA-MINOLTA","","71 US ROUTE 1","SCARBOROUGH","CUMBERLAND",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/03/2006,"VRAP",43.60589,-70.31671
"REM01610","COAL POCKET","RIVERS EDGE DEVELOPMENT","133 COMMERCIAL STREET","BATH","SAGADAHOC",5,"TRUE","REMEDIATION STAGE","ONGOING",10/22/2015,"VRAP",43.91709,-69.81336
"REM01610","COAL POCKET","RIVERS EDGE DEVELOPMENT","133 COMMERCIAL STREET","BATH","SAGADAHOC",5,"TRUE","REMEDIATION STAGE","ONGOING",10/22/2015,"BROWNFIELDS-104K",43.91709,-69.81336
"REM01611","FISH PLANT","","WEST MAIN STREET","VINALHAVEN","KNOX",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/07/2006,"BROWNFIELDS-128A",44.04509,-68.83754
"REM01611","FISH PLANT","","WEST MAIN STREET","VINALHAVEN","KNOX",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/07/2006,"VRAP",44.04509,-68.83754
"REM01612","BEAVER COVE MARINA","","795 LILY BAY ROAD","BEAVER COVE","PISCATAQUIS",10,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/20/2006,"VRAP",45.53381,-69.5472
"REM01613","RIVERWALK","","33 INDIA STREET","PORTLAND","CUMBERLAND",3,"UNKNOWN","REMEDIATION STAGE","ONGOING",09/01/2006,"VRAP",43.65983,-70.24859
"REM01614","O'BRIEN PROPERTY","","ROUTES 131 & 105","APPLETON","KNOX",125,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/13/2006,"VRAP",44.30999,-69.22152
"REM01615","NORTHERN PLAZA","","740 CENTRAL STREET","MILLINOCKET","PENOBSCOT",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/02/2011,"BROWNFIELDS",45.65613,-68.68999
"REM01615","NORTHERN PLAZA","","740 CENTRAL STREET","MILLINOCKET","PENOBSCOT",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/02/2011,"VRAP",45.65613,-68.68999
"REM01615","NORTHERN PLAZA","","740 CENTRAL STREET","MILLINOCKET","PENOBSCOT",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/02/2011,"UNCONTROLLED SITES",45.65613,-68.68999
"REM01616","STURDIVANTS WHARF","","422-440 COMMERCIAL ST","PORTLAND","CUMBERLAND",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/22/2006,"VRAP",43.64944,-70.25728
"REM01617","OLSON MCLELLAN","","1337 ROOSEVELT HIGHWAY","RAYMOND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/06/2007,"VRAP",43.89498,-70.46546
"REM01618","MORRISON CHEVROLET","","65 WATER STREET","ELLSWORTH","HANCOCK",2,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"VRAP",44.53986,-68.42472
"REM01618","MORRISON CHEVROLET","","65 WATER STREET","ELLSWORTH","HANCOCK",2,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"BROWNFIELDS",44.53986,-68.42472
"REM01619","HILLTOP STORE","","231 BELFAST ROAD","KNOX","WALDO",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/17/2006,"VRAP",44.53251,-69.27103
"REM01620","SHALOM HOUSE","","VALLEY & GILMAN STREETS","PORTLAND","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/11/2006,"VRAP",43.655,-70.27958
"REM01621","WINDHAM RETAIL","","INTERSECTION OF RT 115 & 302","WINDHAM","CUMBERLAND",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/14/2007,"VRAP",43.83385,-70.43766
"REM01622","PHILS FOREIGN AUTO","","15 ADAMS STREET","SOUTH PORTLAND","CUMBERLAND",1,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"VRAP",43.64746,-70.23167
"REM01623","PSD MARTINS POINT","","331 VERANDA STREET (US RTE 1)","PORTLAND","CUMBERLAND",5,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/30/2006,"VRAP",43.68879,-70.24593
"REM01624","IDEXX","DATA GENERAL CORPORATION","80 EISENHOWER DRIVE","WESTBROOK","CUMBERLAND",56,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/01/2006,"VRAP",43.66188,-70.37541
"REM01625","PARE OIL","ESTES OIL","34 RAIL ROAD AVENUE","SANFORD","YORK",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/27/2008,"VRAP",43.46356,-70.78326
"REM01626","GEIGER PROPERTY","","61 ORCHARD STREET","NORWAY","OXFORD",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/18/2007,"VRAP",44.21231,-70.54406
"REM01627","WALKERS GETTY","","5 RICHVILLE ROAD (RTE 114)","STANDISH","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/10/2007,"VRAP",43.7614,-70.5262
"REM01629","E.G. OLESON AND SON","","609-611 MAIN STREET","WESTBROOK","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/12/2006,"VRAP",43.67941,-70.35566
"REM01630","ANDREWS GULF","","90 TOWNSEND AVENUE","BOOTHBAY HARBOR","LINCOLN",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/01/2006,"VRAP",43.85462,-69.62632
"REM01631","NORTH BERWICK WOOLEN MILL","","40 CANAL STREET","NORTH BERWICK","YORK",4,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/28/2010,"BROWNFIELDS",43.30517,-70.7371
"REM01631","NORTH BERWICK WOOLEN MILL","","40 CANAL STREET","NORTH BERWICK","YORK",4,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/28/2010,"VRAP",43.30517,-70.7371
"REM01632","FRYEBURG MOBIL","JASONS MOBIL","496 MAIN STREET","FRYEBURG","OXFORD",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/05/2012,"VRAP",44.01497,-70.98327
"REM01633","MAIN STREET TEXACO","MPG MAIN STREET","238 MAIN STREET","PRESQUE ISLE","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/04/2008,"VRAP",46.67491,-68.01574
"REM01634","PARSONS ST GAS CENTER","MPG PARSONS STREET","86 PARSONS ST","PRESQUE ISLE","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/24/2008,"VRAP",46.6898,-68.0188
