"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,424881 - GIBRALTAR LAND CO,COUNTYWIDE LANDFILL,""15701 VREELAND RD, TRENTON, MI"",MIG000058815,""1491 W JEFFERSON AVE, TRENTON, MI"",WAYNE,MATTHEW WILKINSON - (734) 246-4002,,(no contact) - (no phone),1),Type III Low Hazardous Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,418012 - GLENS SANITARY LANDFILL,GLENS SANITARY LANDFILL,""518 M 72 W, MAPLE CITY, MI"",MIG000042157,""518 E TRAVERSE HWY, MAPLE CITY, MI"",LEELANAU,DEBORA JOHNSTON - (989) 539-6111,,DAVE BARRON - (231) 228-6725,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,439857 - GLPC RESIDUAL MANAGEMENT,GREAT LAKES PULP COMPANY TYPE III LANDFILL,""7.5 MILE LANE, MENOMINEE, MI"",MIK726451339,""701 4TH AVE, MENOMINEE, MI"",MENOMINEE,JOHN GROLEAU - (906) 864-9161,,TODD CLAUSEN - (906) 864-9159,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,451195 - GOGEBIC RANGE S WASTE MANAGEMENT AUTHORITY,GOGEBIC RANGE S WST MGMT AUTH,""E5917 US HIGHWAY 2, IRONWOOD, MI"",MIG000023675,""E5917 US HIGHWAY 2, IRONWOOD, MI"",GOGEBIC,CHRIS BRESSETTE - (906) 932-0600,,CHRIS BRESSETTE - (906) 932-0600,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,475836 - GOODAR TOWNSHIP TRANSFER STATION,GOODAR TOWNSHIP TRANSFER STATION,""HEATH RD, SECTION 22, GOODAR TWP., SOUTH BRANCH, MI"",,""PO BOX 100, SOUTH BRANCH, MI"",OGEMAW,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470523 - GRANGER III AND ASSOCIATES LLC,GRANGER WOOD STREET LANDFILL,""16980 WOOD RD, LANSING, MI"",,""16980 WOOD ROAD, LANSING, MI"",INGHAM,KIM SMELKER - (517) 371-9726,GRANGER WOOD STREET LANDFILL,RALPH NUERENBERG - (517) 371-9729,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,397449 - GRANGER LAND DEVELOPMENT COMPANY,GRANGER GRAND RIVER  LANDFILL,""8550 W GRAND RIVER HWY, GRAND LEDGE, MI"",MID082771700,""PO BOX 27185, ATTN VICE PRESIDENT, LANSING, MI"",CLINTON,KIMBERLY SMELKER - (517) 371-9726,,RALPH NUERENBERG - (517) 371-9729,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,""449343 - GRANGER WASTE SERVICES OF ALMA, INC."",""GRANGER WASTE SERVICES OF ALMA, INC."",""2355 MICHIGAN AVE, ALMA, MI"",MID985665090,""16980 WOOD ROAD, LANSING, MI"",GRATIOT,STEVE REED - (517) 371-9750,,STEVE REED - (517) 371-9750,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,465701 - GRAYLING TOWNSHIP TRANSFER STATION,GRAYLING TOWNSHIP TRANSFER STATION,""PO BOX 521, GRAYLING, MI"",,""PO BOX 521, GRAYLING, MI"",CRAWFORD,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470418 - GREAT AMERICAN ENVIRONMENTAL SERVICES INC,MID COUNTY TRANSFER STATION,""US HIGHWAY 41, DAGGETT, MI"",,""PO BOX 2002, KINGSFORD, MI"",MENOMINEE,TERRANCE BARNES - (800) 525-3359,MID COUNTY TRANSFER STATION,TERRANCE BARNES - (906) 774-9006,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470420 - GREAT AMERICAN ENVIRONMENTAL SERVICES INC,NORTH COUNTY TRANSFER STATION,""N16089 NORMENCO RD, SPALDING, MI"",,""PO BOX 2002, KINGSFORD, MI"",MENOMINEE,TERRANCE BARNES - (800) 525-3359,NORTH COUNTY TRANSFER STATION,TERRANCE BARNES - (906) 774-9006,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470404 - GREAT AMERICAN ENVIRONMENTAL SERVICES INC,DICKINSON COUNTY SOLID WASTE TRANSFER STATION (GAD,""N2500 BALER DR, QUINNESEC, MI"",,""PO BOX 2002, KINGSFORD, MI"",DICKINSON,TERRANCE BARNES - (906) 774-9006,DICKINSON COUNTY SOLID WASTE TRANSFER STATION (GAD,TERRANCE BARNES - (906) 774-9006,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470487 - GREAT LAKES WASTE SERVICES INC,GREAT LAKES WASTE SERVICES TRANSFER STATION,""21430 W 8 MILE RD, SOUTHFIELD, MI"",,""5400 COGSWELL RD, WAYNE, MI"",OAKLAND,CHRISTINA PEARSE-BOSSICK - (734) 397-2790,,JACK IWEMA - (734) 729-8200,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,394156 - GREDE LLC,GREDE LLC IRON MOUNTAIN,""801 S CARPENTER AVE, KINGSFORD, MI"",MID006131890,""801 S CARPENTER AVE, KINGSFORD, MI"",DICKINSON,SCOTT FLAMINIO - (906) 779-0207,,SCOTT FLAMINIO - (906) 779-0207,1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,465448 - GREENWOOD TOWNSHIP TRANSFER STATION,GREENWOOD TOWNSHIP TRANSFER STATION,""SECTION 27, GREENWOOD TOWNSHIP, MIO, MI"",,""4030 WILLIAMS ROAD, LEWISTON, MI"",OSCODA,(no contact) - (no phone),GREENWOOD TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470488 - HAMLIN DEVELOPMENT CO,HAMLIN ROAD LANDFILL,""2255 HAMLIN RD, SHELBY TOWNSHIP, MI"",,""100 SKYLINE ROAD, GREAT FALLS, MT"",MACOMB,NOT OBTAINED NOT OBTAINED - (no phone),HAMLIN ROAD LANDFILL,ANNE FAULKENDER - (no phone),1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,466566 - HAMPTON CHARTER TOWNSHIP TRANSFER STATION,HAMPTON CHARTER TOWNSHIP TRANSFER STATION,""2327 N KNIGHT RD, SECTION 7, HAMPTON CHARTER TWP, ESSEXVILLE, MI"",,""PO BOX 187, BAY CITY, MI"",BAY,TOM FORET - (989) 893-7541,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,""480384 - HAMTRAMCK RECYCLING, LLC"",""HAMTRAMCK RECYCLING, LLC"",""3300 DENTON ST, HAMTRAMCK, MI"",MIK191471029,""3300 DENTON ST, HAMTRAMCK, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,""480384 - HAMTRAMCK RECYCLING, LLC"",""HAMTRAMCK RECYCLING, LLC"",""3300 DENTON ST, HAMTRAMCK, MI"",MIK191471029,""3300 DENTON ST, HAMTRAMCK, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,398561 - HARLANDS SANITARY LANDFILL INC,MANISTEE COUNTY LANDFILL INC,""3890 CAMP RD, MANISTEE, MI"",MID126878362,""3890 CAMP RD, MANISTEE, MI"",MANISTEE,TODD HARLAND - (231) 723-4940,HARLAND DISPOSAL SVC,TODD HARLAND - (231) 723-4940,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,398561 - HARLANDS SANITARY LANDFILL INC,MANISTEE COUNTY LANDFILL INC,""3890 CAMP RD, MANISTEE, MI"",MID126878362,""3890 CAMP RD, MANISTEE, MI"",MANISTEE,TODD HARLAND - (231) 723-4940,HARLAND DISPOSAL SVC,TODD HARLAND - (231) 723-4940,2),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491697 - HENRIETTA TOWNSHIP TRANSFER STATION,HENRIETTA TOWNSHIP TRANSFER STATION,""11732 BUNKERHILL ROAD, PLEASANT LAKE, MI"",,""11120 MUSBACH ROAD, MUNITH, MI"",JACKSON,ANDREW GRIMES - (517) 596-3374,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,492163 - HERSEY TOWNSHIP TRANSFER STATION,HERSEY TOWNSHIP TRANSFER STATION,""170TH AVENUE AND 2 MILE ROAD, HERSEY, MI"",,""P.O. BOX 46, HERSEY, MI"",OSCEOLA,TOM FABUS - (231) 832-4959,TOM FABUS,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,485207 - HIAWATHA SHORES LANDFILL INC,HIAWATHA SHORES LANDFILL INC,""3098 N COUNTY ROAD 436, GULLIVER, MI"",MIK792168452,""3098 N COUNTY ROAD 436, GULLIVER, MI"",SCHOOLCRAFT,ROB LEE - (906) 341-2001,,ROB LEE - (906) 341-2001,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,393008 - HOLCIM US INC,HOLCIM US INC DUNDEE PLANT,""15215 DAY RD, DUNDEE, MI"",MID005038500,""15215 DAY RD, DUNDEE, MI"",MONROE,TIM SCHLOSSER - (734) 529-4616,,Fred Osborn - (734) 529-4662,1),Type III Low Hazardous Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,470344 - HOLLAND BOARD OF PUBLIC WORKS,HOLLAND PUBLIC WORKS ZEELAND TOWNSHIP LANDFILL,""1130 56TH AVE, ZEELAND, MI"",,""625 HASTINGS AVE, HOLLAND, MI"",OTTAWA,JUDY VISSCHER - (616) 355-1210,HOLLAND PUBLIC WORKS ZEELAND TOWNSHIP LANDFILL,DAVID KOSTER - (616) 355-1201,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,467090 - HOLTON TOWNSHIP TRANSFER STATION,HOLTON TOWNSHIP TS,""7615 HOLTON DUCK LAKE RD, HOLTON, MI"",,""P.O. BOX 328, HOLTON, MI"",MUSKEGON,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,390821 - HOMRICH INC,HOMRICH INC,""NE CORNER OF THE INTESECTION OF DETROIT, & E. ELM AVENUES, MONROE, MI"",MI0000254128,""200 MATLIN RD, CARLETON, MI"",MONROE,(no contact) - (no phone),,(no contact) - (no phone),1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,489175 - HOUGHTON COUNTY BOARD OF COMMISSIONERS,HOUGHTON COUNTY SOLID WASTE TRANSFER FACILITY,""17850 ERICKSON DRIVE, ATLANTIC MINE, MI"",,""401 E HOUGHTON AVE, HOUGHTON, MI"",HOUGHTON,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,439983 - HURON LANDFILL CORP.,HURON LANDFILL CORP. - DBA HURON LANDFILL,""4151 S MCMILLAN RD, BAD AXE, MI"",MIG000046902,""4151 S MCMILLAN RD, BAD AXE, MI"",HURON,ANGELO CARAMAGNO - (810) 396-1015,,JOHN WALKER - (989) 658-2594,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470382 - IRISH HILLS TRANSFER STATION,IRISH HILLS TRANSFER STATION,""6402 PAWSON RD, ONSTED, MI"",,""6402 PAWSON RD, ONSTED, MI"",LENAWEE,(no contact) - (no phone),IRISH HILLS TRANSFER STATION,(no contact) - (no phone),1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,465320 - ISABELLA COUNTY LANDFILL,ISABELLA COUNTY LANDFILL,""TOMAH RD, SECTION 19, DEERFIELD TOWNSHIP, MOUNT PLEASANT, MI"",,""TOMAH RD, SECTION 19, DEERFIELD TOWNSHIP, MOUNT PLEASANT, MI"",ISABELLA,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,480003 - J & N REFUSE,J & N REFUSE,""8661 N M 33, CHEBOYGAN, MI"",,""8661 M 33, CHEBOYGAN, MI"",CHEBOYGAN,(no contact) - (no phone),J & N REFUSE,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,437185 - J FONS CO,METROPOLITAN TRANSFER CENTER,""6451 E MCNICHOLS RD, DETROIT, MI"",MIG000053544,""6451 E MCNICHOLS RD, DETROIT, MI"",WAYNE,DANIEL FONS - (313) 893-6656,,GREGORY FONS - (313) 893-6656,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,408328 - K & W LANDFILL,K & W LANDFILL,""11877 STATE HIGHWAY M38, ONTONAGON, MI"",MID985657758,""11877 STATE HIGHWAY M38, ONTONAGON, MI"",ONTONAGON,ROBERT PLISKA - (906) 228-4000,,SHAWN TAISTO - (906) 883-3504,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,475646 - KENT COUNTY DEPARTMENT OF PUBLIC WORKS,SOUTH KENT LANDFILL,""10300 SOUTH KENT DRIVE SW, BYRON CENTER, MI"",MIK833875651,""1500 SCRIBNER AVE NW, GRAND RAPIDS, MI"",KENT,DAN ROSE - (616) 336-4370,,DAN ROSE - (616) 336-4370,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,475646 - KENT COUNTY DEPARTMENT OF PUBLIC WORKS,SOUTH KENT LANDFILL,""10300 SOUTH KENT DRIVE SW, BYRON CENTER, MI"",MIK833875651,""1500 SCRIBNER AVE NW, GRAND RAPIDS, MI"",KENT,DAN ROSE - (616) 336-4370,,DAN ROSE - (616) 336-4370,2),Type II MSW Incinerator Ash Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470347 - KUNNENS LANDFILL & REFUSE SERVICE,KUNNENS LANDFILL,""3897 RAMSHORN DR, FREMONT, MI"",,""3897 RAMSHORN DR, FREMONT, MI"",NEWAYGO,(no contact) - (no phone),KUNNENS LANDFILL,BOB KUNNEN - (616) 924-4806,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,393642 - LAFARGE MIDWEST INC,LAFARGE MIDWEST INC,""1435 FORD AVE, ALPENA, MI"",MID005379607,""1435 FORD AVE, ALPENA, MI"",ALPENA,JOSH STRAPEC - (989) 358-3356,,PAUL ROGERS - (989) 354-4171,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,482876 - LAKE TOWNSHIP TRANSFER STATION,LAKE TOWNSHIP TRANSFER STATION,""SAND ROAD, SECTION 13, LAKE TOWNSHIP, CASEVILLE, MI"",,""PO BOX 429, CASEVILLE, MI"",HURON,VALERIE MCCALLUM - (989) 856-4867,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470440 - LANDFILL MANAGEMENT CO,MILLER ROAD TRANSFER STATION,""2606 MILLER RD, KALAMAZOO, MI"",,""5300 MILLER ROAD, KALAMAZOO, MI"",KALAMAZOO,DAN BATTS - (616) 388-3346,MILLER ROAD TRANSFER STATION,JOHN BALKEMA - (616) 226-9200,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,458867 - LANDFILL MANAGEMENT CO,ORCHARD HILL SANITARY LANDFILL,""3290 HENNESSEY RD, WATERVLIET, MI"",MIG000001351,""3290 HENNESSEY RD, WATERVLIET, MI"",BERRIEN,DAN BATTS - (269) 463-5588,,MIKE BALKEMA - (269) 226-9200,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470515 - LANSING BOARD OF WATER & LIGHT,NORTH LANSING LANDFILL #2,""1500 LAKE LANSING RD, LANSING, MI"",,""PO BOX 13007, LANSING, MI"",INGHAM,GAIL PETERSON - (517) 702-6366,NORTH LANSING LANDFILL #2,GAIL PETERSON - (517) 702-6366,1),Type III Low Hazardous Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,465509 - LEE TOWNSHIP TRANSFER STATION,LEE TOWNSHIP TRANSFER STATION,""730 S 9 MILE RD, MIDLAND, MI"",,""1485 WEST OLSON ROAD, MIDLAND, MI"",MIDLAND,GEORGE WHITTINGTON - (989) 837-5486,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491707 - LEE TOWNSHIP TRANSFER STATION,LEE TOWNSHIP TRANSFER STATION,""335 55 TH STREET, GRAND JUNCTION, MI"",,""877 56TH STREET, PULLMAN, MI"",VAN BUREN,(no contact) - (no phone),LEE TOWNSHIP HALL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,484796 - LEWISTON SEPTIC SERVICE,LEWISTON SEPTIC SERVICE,""3084 CLINTON DR, LEWISTON, MI"",,""3084 CLINTON, LEWISTON, MI"",MONTMORENCY,(no contact) - (no phone),MR. JOHN HOSSTRA,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,449656 - LIBERTY ENVIRONMENTALISTS INC,LIBERTY ENVIRONMENTALISTS LANDFILL,""7900 S MERIDIAN RD, CLARKLAKE, MI"",MIG000026746,""7900 S MERIDIAN RD, CLARKLAKE, MI"",JACKSON,DAVID DUNIGAN - (517) 787-1177,,DAVID DUNIGAN - (517) 787-1177,1),Type III Industrial Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,449656 - LIBERTY ENVIRONMENTALISTS INC,LIBERTY ENVIRONMENTALISTS LANDFILL,""7900 S MERIDIAN RD, CLARKLAKE, MI"",MIG000026746,""7900 S MERIDIAN RD, CLARKLAKE, MI"",JACKSON,DAVID DUNIGAN - (517) 787-1177,,DAVID DUNIGAN - (517) 787-1177,2),Type III C&D Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,451825 - LIVINGSTON COUNTY LANDFILL,LIVINGSTON COUNTY LANDFILL,""BARRON RD-BARRON LANDFILL, HOWELL, MI"",MIG000022658,""BARRON RD-BARRON LANDFILL, HOWELL, MI"",LIVINGSTON,BRIAN JONCKHEERE - (517) 546-0040,,BRIAN JONCKHEERE - (517) 546-0040,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,475126 - LOVELLS TOWNSHIP TRANSFER STATION,LOVELLS TOWNSHIP TRANSFER STATION #2,""SECTION 21, GRAYLING, MI"",,""8405 TWIN BRIDGE RD, GRAYLING, MI"",CRAWFORD,GARY NEUMANN - (989) 348-9215,LOVELLS TOWNSHIP SUPERVISOR,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470366 - LOVELLS TWP TS #1,LOVELLS TWP TS #1,""8405 TWIN BRIDGE RD, GRAYLING, MI"",,""8405 TWIN BRIDGE RD, GRAYLING, MI"",CRAWFORD,GARY NEUMANN - (989) 348-9215,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,489899 - Luzerne Express,Luzerne Express Type B Transfer Station,""3535 W. Park Rd., LUZERNE, MI"",,""3535 W. Park Rd., LUZERNE, MI"",OSCODA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,436187 - LYON DEVELOPMENT CO,LYON DEVELOPMENT CO,""5380 MILFORD RD, SITE B, NEW HUDSON, MI"",MIP000000282,""5011 S LILLEY RD, CANTON, MI"",OAKLAND,(no contact) - (no phone),ALLIED WASTE,GARY SAYLOR - (810) 332-5645,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470409 - MACKINAC ISLAND DEPT OF PUBLIC WORKS,MACKINAC ISLAND LANDFILL,""LESLIE AVE, MACKINAC ISLAND, MI"",,""MARKET STREET BOX 515, MACKINAC ISLAND, MI"",MACKINAC,BRUCE ZIMMERMAN - (906) 847-6130,MACKINAC ISLAND LANDFILL,PAUL WANDRIE - (906) 847-6104,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470409 - MACKINAC ISLAND DEPT OF PUBLIC WORKS,MACKINAC ISLAND LANDFILL,""LESLIE AVE, MACKINAC ISLAND, MI"",,""MARKET STREET BOX 515, MACKINAC ISLAND, MI"",MACKINAC,BRUCE ZIMMERMAN - (906) 847-6130,MACKINAC ISLAND LANDFILL,PAUL WANDRIE - (906) 847-6104,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,466873 - MALOW LANDFILL,MALOW LANDFILL,""2902 HAMLIN RD, SHELBY TOWNSHIP, MI"",,""2902 HAMLIN RD, SHELBY TOWNSHIP, MI"",MACOMB,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,412868 - MANISTIQUE RENTALS INC,REFUSE TRANSFER STATION,""415 S CHIPPEWA AVE, MANISTIQUE, MI"",MIR000037168,""PO BOX 458, MANISTIQUE, MI"",SCHOOLCRAFT,DEBBIE MUSGRAVE - (906) 341-6955,,JIM SLINING - (906) 341-6955,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470549 - MARQUETTE BOARD OF LIGHT AND POWER,PINE HILL LANDFILL,""COUNTY ROAD 492, MARQUETTE, MI"",,""2200 W WRIGHT ST, MARQUETTE, MI"",MARQUETTE,BILL PYLE - (906) 228-0333,PINE HILL LANDFILL,BILL PYLE - (906) 228-0333,1),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,444391 - MCGILL ROAD LANDFILL INC,MCGILL ROAD LANDFILL,""3895 MCGILL RD, JACKSON, MI"",MIK479413932,""3895 MCGILL RD, JACKSON, MI"",JACKSON,PAUL MAZANEC - (734) 326-8230,,RONALD FELDKAMP - (517) 789-9871,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,465414 - MCGREGOR'S PUBLIC TRANSFER SITE,MCGREGOR'S PUBLIC TRANSFER SITE,""PO BOX 459, MIO, MI"",,""PO BOX 459, MIO, MI"",OSCODA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491715 - MENDON TRANSFER STATION,MENDON TRANSFER STATION,""27015 M-60, MENDON, MI"",,""206 WEST MAIN STREET, P.O. BOX 146, MENDON, MI"",ST JOSEPH,JOHN HYDEN - (269) 496-4395,VILLAGE OF MENDON,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,492030 - MENTOR TOWNSHIP TRANSFER STATION,MENTOR TOWNSHIP TRANSFER STATION,""SECTION 18, MENTOR TOWNSHIP, MIO, MI"",,""P.O. BOX 730, MIO, MI"",OSCODA,(no contact) - (no phone),MENTOR TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,468476 - MERIDIAN TOWNSHIP TRANSFER STATION,MERIDIAN TOWNSHIP TRANSFER STATION,""5976 LAKE DR, HASLETT, MI"",,""5151 MARSH RD, OKEMOS, MI"",INGHAM,(no contact) - (no phone),PETE WADE,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,486515 - MERRILL TOWNSHIP TRANSFER STATION,MERRILL TOWNSHIP TRANSFER STATION,""9555 N BINGHAM AVE, BITELY, MI"",,""1585 W 11 MILE RD, BITELY, MI"",NEWAYGO,(no contact) - (no phone),MERRILL TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,443741 - METRO SANITATION II LLC,METRO SANITATION NORTH,""3860 VAN DYKE RD, ALMONT, MI"",MIG000039267,""3860 VAN DYKE RD, ALMONT, MI"",LAPEER,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,463695 - METROSWEEP SERVICES LLC,METROSWEEP SERVICES LLC,""2670 AUBURN COURT, AUBURN HILLS, MI"",MIK593448236,""4557 HIGHLAND RD, WATERFORD, MI"",OAKLAND,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,452543 - MI DEPT/NATURAL RESOURCES AND ENVIRONMENT,FORMER HURON DEVELOPMENT LANDFILL,""5384 INDIAN TRL, MARINE CITY, MI"",MIK576941991,""27700 DONALD CT, WARREN, MI"",ST CLAIR,DIPO OYINSAN - (517) 335-0223,,DIPO OYINSAN - (517) 335-0223,1),Type II MSW Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,470485 - MI DEPT/NATURAL RESOURCES AND ENVIRONMENT,FORT GRATIOT SANITARY LANDFILL,""3290 KEEWAHDIN RD, FORT GRATIOT, MI"",,""PO BOX 30426, LANSING, MI"",ST CLAIR,(no contact) - (no phone),FORT GRATIOT SANITARY LANDFILL,(no contact) - (no phone),1),Type II MSW Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,397059 - MI DEPT/NATURAL RESOURCES AND ENVIRONMENT,REMEDIATION & REDEVELOPMENT DIV FENSKE LANDFILL,""2637 WILSON SW, GRAND RAPIDS, MI"",MID072589328,""4450 44TH ST SE, SUITE E, KENTWOOD, MI"",KENT,DOUG FENSKE - (616) 453-6084,,(no contact) - (no phone),1),Type II MSW Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,397059 - MI DEPT/NATURAL RESOURCES AND ENVIRONMENT,REMEDIATION & REDEVELOPMENT DIV FENSKE LANDFILL,""2637 WILSON SW, GRAND RAPIDS, MI"",MID072589328,""4450 44TH ST SE, SUITE E, KENTWOOD, MI"",KENT,DOUG FENSKE - (616) 453-6084,,(no contact) - (no phone),2),Type III C&D Waste Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,397059 - MI DEPT/NATURAL RESOURCES AND ENVIRONMENT,REMEDIATION & REDEVELOPMENT DIV FENSKE LANDFILL,""2637 WILSON SW, GRAND RAPIDS, MI"",MID072589328,""4450 44TH ST SE, SUITE E, KENTWOOD, MI"",KENT,DOUG FENSKE - (616) 453-6084,,(no contact) - (no phone),3),Solid Waste Processing Plant,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,427080 - MICHIANA RECYCLING,MICHIANA RECYCLING,""2275 REUM RD, NILES, MI"",MIG000056797,""33541 REUM RD, NILES, MI"",BERRIEN,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility,Active - Accepting"
